SU,SU_1_2011-10-24,SUTRT,SUTRT
SU,SU_2_2011-10-24,SUNCF,
SU,SU_3_2011-10-24,SUCAT,SUCAT
SU,SU_4_2011-10-24,SUDSTXT,SUDOSTXT or SUDOSE
SU,SU_5_2011-10-24,SUDOSU,SUDOSU
SU,SU_6_2011-10-24,SUDOSFRQ,SUDOSFRQ
SU,SU_7_2011-10-24,SUSTDAT,SUSTDTC
SU,SU_8_2011-10-24,SUENDAT,SUENDTC
SU,SU_9_2011-10-24,SUCDUR+SUCDURU,SUDUR
SU,SU_10_2011-10-24,TOBACCO.CIGARETTES.SUNCF,
SU,SU_11_2011-10-24,TOBACCO.CIGARETTES.SUDSTXT,SUDOSTXT
SU,SU_12_2011-10-24,TOBACCO.CIGARETTES.SUSTDAT,SUSTDTC
SU,SU_13_2011-10-24,TOBACCO.CIGARETTES.SUENDAT,SUENDTC
SU,SU_14_2011-10-24,TOBACCO.CIGARETTES.SUCDUR,SUDUR
SU,SU_15_2011-10-24,TOBACCO.CIGARS.SUNCF,
SU,SU_16_2011-10-24,TOBACCO.CIGARS.SUDSTXT,SUDOSTXT
SU,SU_17_2011-10-24,TOBACCO.CIGARS.SUSTDAT,SUSTDTC
SU,SU_18_2011-10-24,TOBACCO.CIGARS.SUENDAT,SUENDTC
SU,SU_19_2011-10-24,TOBACCO.CIGARS.SUCDUR,SUDUR
SU,SU_20_2011-10-24,ALCOHOL.SUNCF,
SU,SU_21_2011-10-24,ALCOHOL.BEER.SUDSTXT,SUDOSTXT
SU,SU_22_2011-10-24,ALCOHOL.BEER.SUDOSFRQ,SUDOSFRQ
SU,SU_23_2011-10-24,ALCOHOL.WINE.SUDSTXT,SUDOSTXT
SU,SU_24_2011-10-24,ALCOHOL.WINE.SUDOSFRQ,SUDOSFRQ
SU,SU_25_2011-10-24,ALCOHOL.SPIRITS.SUDSTXT,SUDOSTXT
SU,SU_26_2011-10-24,ALCOHOL.SPIRITS.SUDOSFRQ,SUDOSFRQ
SU,SU_27_2011-10-24,ALCOHOL.SUSTDAT,SUSTDTC
SU,SU_28_2011-10-24,ALCOHOL.SUENDAT,SUENDTC
SU,SU_29_2011-10-24,ALCOHOL.SUCDUR,SUDUR
